"PID","小票数","平均每单金额","年龄","性别.男性为1","香烟购买量","鲜食购买量","包装水购买量","茶饮料购买量","碳酸饮料购买量","冰淇淋购买量","酸奶/酸味奶购买量","肉食小食购买量","即食类主食购买量","啤酒购买量","牛奶购买量","糖果购买量","功能性饮料购买量","膨化食品购买量","糕点购买量","饼干购买量","熟食肉制品购买量","果蔬汁购买量","亚洲传统饮料购买量","卫生用品购买量"
"000aafec-f950-4164-a490-ba1855af7962",2,4,40,"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"0057c8c5-4b73-11e8-b667-0a58ac130522",2,7.95,49,"1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"006746a1-7df8-11e8-ae1e-0a58ac130661",2,6,42,"1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
"006cbab3-252d-11e8-ae70-0a58ac130028",3,16.9,31,"1",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"00feb773-1f9a-11e8-bc3e-0a58ac130020",3,12.8333333333333,26,"0",1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"00ffe40f-1964-4624-a9d7-54a53d0916c3",4,8,31,"1",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"0122b411-211e-11e8-bc71-0a58ac130020",3,5.93333333333333,22,"0",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01288984-7485-11e8-99f4-0a58ac13065a",3,10.6666666666667,42,"1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"014e1c1f-163a-11e8-a6f9-0a58ac13001a",2,38.35,40,"0",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01715d00-3fef-419d-a9d5-7936ecc49087",4,11.125,39,"1",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"01937d62-c3e1-4237-a8bf-23cba90e5a96",5,7.4,46,"0",0,2,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0
"01e8385a-8690-11e8-9313-0a58ac13066c",2,12.6,17,"0",0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
"0250614b-2e5e-11e8-8af3-0a58ac130032",5,6.12,19,"0",0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
"02a275e8-ac77-4164-be03-a7ca9fe2f04a",2,3.5,25,"0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"02c4af88-072f-4939-9a9d-a06d7022de3d",2,15.2,26,"0",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0313f278-6f98-4385-9205-577149886be7",6,12.25,23,"1",3,2,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0
"03c55d3a-4632-11e8-b0f8-0a58ac130519",2,5,26,"1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"03c8ab28-9723-43b2-8578-e9f9cacba6a2",2,8,31,"1",0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"040767d8-30b9-11e8-8bcf-0a58ac130032",2,7.25,19,"0",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0446e84c-6823-4297-bad0-0b25749d8ceb",2,16,38,"1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"047f75b7-b308-4431-b248-701175c5d2e5",11,5.83030303030303,22,"1",2,4,0,0,0,2,1,2,1,0,4,2,0,1,0,0,3,0,0,0
"049fe29b-78d1-4ec4-93e1-203d53425834",2,5.5,25,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"0547aec8-267f-11e8-aeb3-0a58ac130028",7,8.91428571428571,16,"1",0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,1,0
"0576c702-4ace-11e8-b612-0a58ac130522",2,10,34,"1",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"059bc981-69ad-11e8-8d5f-0a58ac1303bc",2,52.475,25,"1",0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"06465e42-60f5-411d-beb7-c96834860c81",2,3,24,"1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"064a9714-0fb2-11e8-a674-0a58ac13001a",5,4.48,27,"1",0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"065fda80-daec-49f1-98eb-de04b27651b7",13,12.5615384615385,28,"1",6,5,2,1,0,0,0,2,2,0,0,3,1,0,0,3,4,0,0,0
"06ad9747-9220-11e8-80c3-0a58ac1305b1",2,12.15,54,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"06bb63a9-72bc-11e8-9803-0a58ac13065a",3,11.8333333333333,28,"0",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06d11d4c-5052-11e8-83bc-0a58ac130356",2,4.75,28,"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"07038306-0f35-11e8-a66b-0a58ac13001a",2,31.5,20,"1",0,1,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1
"070537b5-632b-4084-a6ec-1c00b1ec9408",3,7.33333333333333,22,"1",0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"072b96d1-483e-11e8-b4da-0a58ac130522",3,2.85,23,"1",0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
"0760d965-5042-11e8-83b5-0a58ac130356",2,2.25,37,"1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"080be4bc-1224-11e8-a69a-0a58ac13001a",5,8.5,44,"1",1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
"08783988-1ade-11e8-a76a-0a58ac13001a",2,8,17,"1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08d20795-9399-4994-b6a0-51ffcf216a2a",2,12.3999995,29,"0",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08f245ff-9d4e-4ecb-8a84-1ef612748fd0",3,26.8666666666667,23,"1",0,0,0,0,8,1,0,11,0,0,0,0,1,3,0,0,0,0,0,0
"09540160-cd0d-4c1f-ba14-f5d2ab70e33e",3,16.6333333333333,31,"1",1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
"09c3793b-1afa-4716-bd98-db02600048ae",2,7.4,25,"1",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"09cd0f92-16cf-11e8-a701-0a58ac13001a",2,6.6,18,"1",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a002708-4d3a-11e8-b7cf-0a58ac130522",3,6.66666666666667,26,"1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"0a7ef29d-8230-4e39-a4df-abb1b89f760f",5,7.9,30,"1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0ad96917-4e55-4064-bfdc-0ed5904679de",2,20.5,23,"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b2c31b1-1d18-11e8-bbbb-0a58ac130020",2,6.6,23,"1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0b34644a-9071-11e8-bea5-0a58ac1305b1",3,41.4000006666667,23,"0",0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
"0b554ae5-8049-11e8-adf5-0a58ac1303f0",2,12.2,39,"0",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"0bd06883-4c5c-11e8-9cbc-0a58ac1300da",2,17.875,27,"1",0,0,0,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
"0c0ec02e-76e1-11e8-9264-0a58ac130661",2,37.8,35,"1",2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"0c20a4d9-fa14-46f9-8150-18db6210b455",4,9.2,28,"0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
"0c5f3afa-62eb-47d5-b046-15a9d370d598",2,8.75,22,"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0cc9f362-0c8b-11e8-b215-0a58ac130012",2,30,31,"1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0cdf29fd-9fab-4ddb-a189-4511b6cb016e",2,6,24,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"0d9df601-0b47-11e8-b07b-0a58ac130255",8,8.8125,43,"1",1,0,8,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"0da5045b-49b9-11e8-b565-0a58ac130522",4,24.7,31,"1",3,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,1,0
"0df86175-c8e0-47b6-9838-e6ab620e3f57",2,7.25,22,"0",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0e3d8b10-2296-11e8-bcaa-0a58ac130020",4,4.75,20,"0",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"0e3ea88f-6c76-11e8-8e75-0a58ac1303bc",3,3.5,33,"1",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0e86ed81-94b0-11e8-854a-0a58ac1305b1",2,15.8,26,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"0ee29894-caa2-40f1-8c0d-4012f4156425",2,5,35,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f66d3d1-1f61-11e8-bc2d-0a58ac130020",2,23,39,"1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f6dfb7d-4487-11e8-b003-0a58ac130519",2,4.3,27,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"0f86250b-1a2b-11e8-a759-0a58ac13001a",2,5.75,28,"0",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"0fe00ddd-8e6f-11e8-bc79-0a58ac1305b1",4,3.75,34,"1",1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000a55b-47a5-11e8-b4ae-0a58ac130522",2,29,27,"1",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"10404118-8af9-48bf-9bc4-a517e25f4620",5,19.9,23,"1",3,2,2,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1041d208-06ce-4ab6-9589-3527ec9f9edb",3,18.2333333333333,22,"0",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1083fb8e-8fcf-11e8-bde6-0a58ac1305b1",3,4.83333333333333,25,"1",0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"1098e6bf-abde-4ac0-a23a-7fb712bacb44",2,2.5,21,"0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
