"订单编号","PID","交易时间","单项数量","单项金额","商品编号","商品名称","一级分类","二级分类","三级分类","门店名称","品牌"
1371352,"af90ad92-442c-11e8-afda-0a58ac130519",2019-05-01 00:01:32,1,1,"10603552","顺成打火机","烟类","烟具","烟具","A","顺成"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,21,"10000012","N七匹狼（软灰）","烟类","香烟","软盒香烟","B","七匹狼"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,19.9,"32000179","金鹿无味电热蚊香液（1+1）套装","家用清洁","消杀用品","灭蚊、杀虫、防蛀用品","B","金鹿"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,9.9,"60603158","冷酸灵柔丝双效牙刷双支促销装","个人清洁","口腔用品","牙刷","B","冷酸灵"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,5,"11000256","农夫东方树叶茉莉花茶500ml","饮料","茶饮料","即饮茉莉花茶","B","东方树叶"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,2,8,"11000299","王老吉凉茶310ml","饮料","亚洲传统饮料","中草药饮料","B","王老吉"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,9.9,"12000206","乐事无限鲜浓番茄味104g","休闲零食","膨化食品","膨化食品","B","乐事无限"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,4.5,"12000022","上好佳鲜虾片40g","休闲零食","膨化食品","膨化食品","B","上好佳"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,4.8,"17122913","贤哥辣么小小脆58g","休闲零食","肉食小食","肉食小食","B","贤哥"
1371846,"60c505a5-90db-11e8-bfae-0a58ac1305b1",2019-05-01 00:30:11,1,4.5,"11000253","康师傅绿茶1L","饮料","茶饮料","即饮绿茶","C","康师傅"
1371846,"60c505a5-90db-11e8-bfae-0a58ac1305b1",2019-05-01 00:30:11,2,9,"11000411","达能脉动水蜜桃味600ml","饮料","功能性饮料","运动能量饮料","C","脉动"
1371846,"60c505a5-90db-11e8-bfae-0a58ac1305b1",2019-05-01 00:30:11,1,4.5,"11000065","达能脉动清新柠檬600ml","饮料","功能性饮料","运动能量饮料","C","脉动"
1371916,"871cefc3-46dc-11e8-bef0-0a58ac13033c",2019-05-01 00:33:58,1,13.5,"11000168","N椰树椰子汁1L","饮料","果蔬汁","常温果汁","C","椰树"
1372091,"6c7d566e-807a-11e8-ae3c-0a58ac1303f0",2019-05-01 00:44:35,2,7,"11000291","T长富精品纯牛奶250ml","奶制品","牛奶","常温牛奶","B","长富"
1372091,"6c7d566e-807a-11e8-ae3c-0a58ac1303f0",2019-05-01 00:44:35,1,3,"13000268","双汇肉花肠90g","辅助佐餐","熟食肉制品","熟食肉制品","B","双汇"
1372091,"6c7d566e-807a-11e8-ae3c-0a58ac1303f0",2019-05-01 00:44:35,2,25.8,"18000122","乡下香鸡腿香酥味85g","休闲零食","肉食小食","肉食小食","B","乡下香"
1372107,"b7a46e31-1241-4575-9789-bd4cf46816a0",2019-05-01 00:46:01,1,19,"10000031","N黄鹤楼（软蓝）","烟类","香烟","软盒香烟","B","黄鹤楼"
1372115,"246c409f-074f-4739-86cf-6e6970f5ff8b",2019-05-01 00:46:37,1,4,"11000747","T青岛崂山啤酒500ml","酒类","啤酒","啤酒","B","青岛啤酒"
1372115,"246c409f-074f-4739-86cf-6e6970f5ff8b",2019-05-01 00:46:37,1,16,"10000014","N七匹狼（软红）","烟类","香烟","软盒香烟","B","七匹狼"
1372200,"206028ad-43fc-11e8-afd5-0a58ac130519",2019-05-01 00:53:03,1,11.9,"12604002","抱抱堂罐装爆米花焦糖味100g","休闲零食","膨化食品","膨化食品","C","抱抱堂"
1372762,"a65914bf-929e-11e8-816a-0a58ac1305b1",2019-05-01 01:36:52,1,4.5,"11000411","达能脉动水蜜桃味600ml","饮料","功能性饮料","运动能量饮料","B","脉动"
1372820,"360b514c-5026-11e8-83b1-0a58ac130356",2019-05-01 01:41:01,1,7,"60603315","蒙牛优益C百香果味340g","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","优益C"
1372820,"360b514c-5026-11e8-83b1-0a58ac130356",2019-05-01 01:41:01,1,5,"11000412","农夫东方树叶绿茶原味茶饮料500ml","饮料","茶饮料","即饮绿茶","B","东方树叶"
1372820,"360b514c-5026-11e8-83b1-0a58ac130356",2019-05-01 01:41:01,1,1.5,"93895468","AN见福茶叶蛋","方便速食","鲜食","茶叶蛋","B","见福"
1373058,"f7388d91-fe0f-4b09-8480-2642404f2310",2019-05-01 02:02:17,1,4.5,"12604187","脉动仙人掌青橘口味600ml","饮料","功能性饮料","运动能量饮料","B","脉动"
1373148,"f3ee9478-e5ce-48fb-9c5c-b05daf7b990c",2019-05-01 02:10:14,2,17,"11000137","达利园和其正1.5L","饮料","亚洲传统饮料","中草药饮料","C","和其正"
