研究生申请全程服务, 价格 , 服务团队 ,说明
单所学校申请," 35,000 ", 前期咨询师、高级咨询师、咨询总监、海外行业导师、外教、前招生官 , 无退款条款 
全程申请服务(1个专业/8所）国内版," 55,000 ", 前期咨询师、高级咨询师 , 不限国家，是否相同专业需要判断， 可赠送小宇GRE基础班(1499)，加一万五可以获得一段远程项目 
全程申请服务(1个专业/8所）精简版," 68,000 ", 前期咨询师、高级咨询师、海外行业导师、外教、前招生官 , 不限国家，是否相同专业需要判断， 可赠送小宇GRE基础班(1499)，加一万五可以获得一段远程项目 
全程申请服务(1个专业/8所）," 70,000 ", 前期咨询师、高级咨询师、海外行业导师、外教、前招生官 , 不限国家，是否相同专业需要判断， 可包含小宇GRE刷题营录播课程(7800)，加一万五可以获得一段远程项目 
全程申请服务Plus（2个专业/12所）精简版," 78,000 ", 前期咨询师、高级咨询师、海外行业导师、外教、前招生官 , 可赠送小宇GRE基础班(1499)，加一万五可以获得一段远程项目 
全程申请服务Plus（2个专业/12所）," 80,000 ", 前期咨询师、高级咨询师、海外行业导师、外教、前招生官 , 可包含小宇刷题营录播课程(7800)，加一万五可以获得一段远程项目 
全程申请服务Max（2个专业/12所）," 99,800 ", 前期咨询师、高级咨询师、咨询总监、海外行业导师、外教、前招生官 , 包含一段远程项目，加一万可购买升级大礼包，包括一段远程项目+小宇20099GRE(21天冲分)；咨询总监参加申请策略咨询会议、提供选校建议、进行申请文书审阅和修改等重要环节 
全程申请服务VIP（3个专业/15所）," 128,000 ", 前期咨询师、高级咨询师、咨询总监、首席咨询师、海外行业导师、外教、前招生官 , 包含两段远程项目，加一万可购买升级大礼包，包括一段远程项目+小宇20099GRE(21天冲分)；首席咨询师参加申请策略咨询会议、提供选校建议、进行申请文书审阅和修改等重要环节 
全程申请服务VIP（3个专业/15所）尊享版," 158,000 ", 前期咨询师、高级咨询师、咨询总监、首席咨询师、海外行业导师、外教、前招生官 , 包含两段远程项目，加一万可购买升级大礼包，包括一段远程项目+小宇20099GRE(21天冲分)；首席咨询师参加申请策略咨询会议、提供选校建议、进行申请文书审阅和修改等全程参与申请流程 
非美学校全程申请（1个专业/6所）," 25,000 ", 前期咨询师、高级咨询师 , 不限国家（除美国），文书写作由高级咨询师负责，不成功全退，需选至少6个学校 
非美精英学校全程申请（2个专业/8所）," 38,000 ", 前期咨询师、高级咨询师、海外行业导师 , 不限国家（除美国），至少包含一所名校（参考名校列表）；不成功退100%（至少申请6所，满足学校最低条件），如果不满足学校条件退40%。 
Deferred MBA单所学校申请," 40,000 ", 前期咨询师、高级咨询师、咨询总监、首席MBA咨询师、海外行业导师、外教、前招生官 , 无退款条款 
多加一个专业," 8,000 ",,
多加一所学校," 1,500 ",,
多加一所Deferred MBA项目（全程申请服务学员）," 5,000 ",, 针对全程申请服务学员 
多加一所Deferred MBA项目（Deferred MBA申请学员)," 10,000 ",, 针对Deferred MBA学员，无退费条款 
申请策略咨询（申请策略）," 10,000 ", 高级咨询师、咨询总监 ,
申请策略咨询（背景提升）," 10,000 ", 高级咨询师、咨询总监 ,
选校服务," 5,000 ", 高级咨询师、咨询总监 ,
一对一模拟面试," 1,400 ", 前招生官 ,
小组面试辅导, 700 , 前招生官/首席咨询师 ,
网申填写服务, 300 , 咨询师助理 ,
签证服务," 5,000 ", 高级咨询师 ,
Boot Camp," 5,000 ", 咨询总监、首席咨询师 ,
文书润色（有文书）," 2,000 ", 高级咨询师、外教 ,
文书修改（有文书）," 6,500 ", 高级咨询师、海外行业导师 ,
文书写作（无文书）," 10,000 ", 高级咨询师、海外行业导师 ,
简历修改（有简历）," 3,500 ", 高级咨询师、海外行业导师 ,
简历写作（无简历）," 5,000 ", 高级咨询师、海外行业导师 ,
推荐信修改（有推荐信）," 2,000 ", 高级咨询师、海外行业导师 ,
推荐信写作（无推荐信）," 3,000 ", 高级咨询师、海外行业导师 ,
首席咨询师," 5,000 ", 首席咨询师 ,
美国名企PTA," 35,000 ", 高级求职咨询师、美国名企导师 ,
美国名企PTA小班课," 17,500 ", 高级求职咨询师、美国名企导师 ,
美国本地远程实习(SI)4周," 21,000 ", 高级求职咨询师、美国企业高管 ,
美国本地远程实习(SI)6周," 24,500 ", 高级求职咨询师、美国企业高管 ,
美国本地远程实习(SI)8周," 31,500 ", 高级求职咨询师、美国企业高管 ,
美国本地实地实习(SI)4周," 24,500 ", 高级求职咨询师、美国企业高管 ,
美国本地实地实习(SI)6周," 28,000 ", 高级求职咨询师、美国企业高管 ,
美国本地实地实习(SI)8周," 35,000 ", 高级求职咨询师、美国企业高管 ,
BA商业分析九天集训营," 3,988 ", Zoe导师（Capital One数据科学家） ,
CPT - Placement ," 31,500 ", 高级求职咨询师、海外行业导师、海外猎头团队 ,
CPT - C+P," 45,500 ", 高级求职咨询师、海外行业导师、海外猎头团队 ,
OPT - Placement ," 38,500 ", 高级求职咨询师、海外行业导师、海外猎头团队 ,
OPT - C+P," 52,500 ", 高级求职咨询师、海外行业导师、海外猎头团队 ,
美国秋招集训营," 3,988 ", TDC求职团队 ,
GRE/GMAT智能培训系统-90天," 5,800 ", 魔力学院 ,
GRE/GMAT智能培训系统-180天," 9,800 ", 魔力学院  ,
GRE/GMAT智能培训系统-360天," 15,800 ", 魔力学院  ,
名师陪学服务-30天," 19,800 ", 魔力学院  ,
名师陪学服务-60天," 28,800 ", 魔力学院  ,
名师陪学服务-90天," 36,800 ", 魔力学院  ,
规划+模考+诊断报告, 199 , 小宇团队 , 诊断报告+学习计划  
GRE基础班," 1,499 ", 小宇团队 , 录播课，适合学习能力比较强的小白，题有些旧 
GRE刷题营," 7,800 ", 小宇团队 , 录播课，适合学习能力比较强的，较新题库 
GRE21天冲分计划," 10,800 ", 小宇团队 , 直播课，适合需要短期出分的，最新题库 
GRE无忧小组," 19,600 ", 小宇团队 , 直播课，适合长线客户，时间长，最新题库 
GMAT录播刷题营- 完全版VIP（含10小时一对一） ," 13,800 ", 小宇团队 ,  70小时录播课程+10小时一对一  
GRE集训营线上版（小班课）-15天," 11,700 ", 小宇团队 ,  96.5小时面授课+70 小时录播课程，覆盖60%题库每天上课6.5小时  
GRE集训营线上版（小班课）-20天," 15,600 ", 小宇团队 ,  129.5 小时面授课+70 小时录播课程，覆盖80%题库每天上课6.5小时  
